quantile,model,method,trial,loss,hit_rate_in,hit_rate_out,dq_in,dq_out,binom_in,binom_out,traffic_in,traffic_out,kupiec_in,kupiec_out,independent_in,independent_out
0.05,igarch,RQ,20,0.126249337,0.050106045,0.040570175,0.746751248,0.997500235,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,21,0.126249368,0.050371156,0.040570175,0.840456996,0.99750028,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,22,0.126249349,0.050106045,0.040570175,0.872291877,0.997500289,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,23,0.126249327,0.050106045,0.040570175,0.746751535,0.997500239,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,24,0.12624934,0.050371156,0.040570175,0.881574551,0.997500245,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,25,0.126249369,0.050371156,0.040570175,0.835291782,0.997500319,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,26,0.126249357,0.050371156,0.040570175,0.835287754,0.997500341,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,27,0.126249385,0.050106045,0.040570175,0.742616615,0.997500297,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,28,0.126249333,0.050371156,0.040570175,0.757547581,0.997500233,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,29,0.126249329,0.050106045,0.040570175,0.875770623,0.997500239,0.970194032,0.067528408,green,green,,1,,0.962333106
0.01,adaptive,RQ,0,0.038643774,0.008748674,0.00877193,0.640640563,0.999995013,0.512009262,0.723307796,green,green,1,1,0.704196184,0.87081718
0.01,adaptive,RQ,1,0.038573311,0.009013786,0.009320175,0.681370297,0.999988251,0.622959429,0.906088006,green,green,1,1,0.684310228,0.851403823
0.01,adaptive,RQ,2,0.038380849,0.009013786,0.00877193,0.999030459,0.999995015,0.622959429,0.723307796,green,green,1,1,0.684310228,0.87081718
0.01,adaptive,RQ,3,0.039389965,0.008483563,0.00877193,0.229527875,0.999948342,0.412286874,0.723307796,green,green,1,1,0.540760154,0.405483699
0.01,adaptive,RQ,4,0.0383478,0.008748674,0.00877193,0.996384534,0.999995015,0.512009262,0.723307796,green,green,1,1,0.704196184,0.87081718
0.01,adaptive,RQ,5,0.038643774,0.008748674,0.00877193,0.640675903,0.999995013,0.512009262,0.723307796,green,green,1,1,0.704196184,0.87081718
0.01,adaptive,RQ,6,0.038347801,0.008748674,0.00877193,0.996392367,0.999995015,0.512009262,0.723307796,green,green,1,1,0.704196184,0.87081718
0.01,adaptive,RQ,7,0.038501753,0.008483563,0.00877193,0.999500622,0.999995015,0.412286874,0.723307796,green,green,1,1,0.723495492,0.87081718
0.01,adaptive,RQ,8,0.038826423,0.009544008,0.009320175,0.293106279,0.999980192,0.869861259,0.906088006,green,green,1,1,0.595188325,0.851403823
0.01,adaptive,RQ,9,0.038540494,0.008483563,0.00877193,0.999703026,0.999995016,0.412286874,0.723307796,green,green,1,1,0.723495492,0.87081718
0.01,adaptive,RQ,10,0.039477725,0.009013786,0.009320175,0.322448742,0.994412279,0.622959429,0.906088006,green,green,1,1,0.568464235,0.851403823
0.01,adaptive,RQ,11,0.038826958,0.009544008,0.00877193,0.295440065,0.999993,0.869861259,0.723307796,green,green,1,1,0.595188325,0.87081718
0.01,adaptive,RQ,12,0.038674075,0.009013786,0.009320175,0.651150082,0.999988248,0.622959429,0.906088006,green,green,1,1,0.684310228,0.851403823
0.01,adaptive,RQ,13,0.039278341,0.009013786,0.009868421,0.977628059,0.999908876,0.622959429,1,green,green,1,1,0.684310228,0.830560585
0.01,adaptive,RQ,14,0.038343689,0.009013786,0.009320175,0.999521083,0.999988254,0.622959429,0.906088006,green,green,1,1,0.684310228,0.851403823
0.01,adaptive,RQ,15,0.038347799,0.008748674,0.00877193,0.996375558,0.999995015,0.512009262,0.723307796,green,green,1,1,0.704196184,0.87081718
0.01,adaptive,RQ,16,0.03872242,0.008483563,0.00877193,0.999482194,0.999995086,0.412286874,0.723307796,green,green,1,1,0.723495492,0.87081718
0.01,adaptive,RQ,17,0.038682871,0.009278897,0.009320175,0.142059422,0.99998022,0.743131148,0.906088006,green,green,1,1,0.58195024,0.851403823
0.01,adaptive,RQ,18,0.039092334,0.009013786,0.009320175,0.304274073,0.993444896,0.622959429,0.906088006,green,green,1,1,0.568464235,0.851403823
0.01,adaptive,RQ,19,0.038674328,0.009544008,0.00877193,0.651446047,0.999994918,0.869861259,0.723307796,green,green,1,1,0.642851208,0.87081718
0.01,adaptive,RQ,20,0.038959055,0.009544008,0.009320175,0.289894644,0.999986908,0.869861259,0.906088006,green,green,1,1,0.595188325,0.851403823
0.01,adaptive,RQ,21,0.038674328,0.009544008,0.00877193,0.651415154,0.999994918,0.869861259,0.723307796,green,green,1,1,0.642851208,0.87081718
0.01,adaptive,RQ,22,0.038353974,0.008483563,0.00877193,0.728234839,0.999995015,0.412286874,0.723307796,green,green,1,1,0.723495492,0.87081718
0.01,adaptive,RQ,23,0.038643774,0.008748674,0.00877193,0.640743686,0.999995013,0.512009262,0.723307796,green,green,1,1,0.704196184,0.87081718
0.01,adaptive,RQ,24,0.038622704,0.008748674,0.00877193,0.274570827,0.999986126,0.512009262,0.723307796,green,green,1,1,0.554733153,0.87081718
0.01,adaptive,RQ,25,0.038347801,0.008748674,0.00877193,0.996393452,0.999995015,0.512009262,0.723307796,green,green,1,1,0.704196184,0.87081718
0.01,adaptive,RQ,26,0.038641537,0.008748674,0.00877193,0.64235551,0.999995014,0.512009262,0.723307796,green,green,1,1,0.704196184,0.87081718
0.01,adaptive,RQ,27,0.038347801,0.008748674,0.00877193,0.996393452,0.999995015,0.512009262,0.723307796,green,green,1,1,0.704196184,0.87081718
0.01,adaptive,RQ,28,0.038959055,0.009544008,0.009320175,0.289913614,0.999986908,0.869861259,0.906088006,green,green,1,1,0.595188325,0.851403823
0.01,adaptive,RQ,29,0.038380849,0.009013786,0.00877193,0.99903073,0.999995015,0.622959429,0.723307796,green,green,1,1,0.684310228,0.87081718
0.01,symmetric,RQ,0,0.034447997,0.00980912,0.015350877,0.994988336,0.999999927,1,0.03272195,green,green,1,1,0.945617844,0.925987597
0.01,symmetric,RQ,1,0.034447963,0.010074231,0.015350877,0.999954909,0.999999927,0.934696286,0.03272195,green,green,1,1,0.939363862,0.925987597
0.01,symmetric,RQ,2,0.034447706,0.010074231,0.015350877,0.999954883,0.999999927,0.934696286,0.03272195,green,green,1,1,0.939363862,0.925987597
0.01,symmetric,RQ,3,0.034447848,0.010074231,0.015350877,0.993381054,0.999999927,0.934696286,0.03272195,green,green,1,1,0.939363862,0.925987597
0.01,symmetric,RQ,4,0.034447675,0.010074231,0.015350877,0.999954902,0.999999927,0.934696286,0.03272195,green,green,1,1,0.939363862,0.925987597
0.01,symmetric,RQ,5,0.034447681,0.010074231,0.015350877,0.993387657,0.999999927,0.934696286,0.03272195,green,green,1,1,0.939363862,0.925987597
0.01,symmetric,RQ,6,0.034447907,0.00980912,0.015350877,0.994990897,0.999999927,1,0.03272195,green,green,1,1,0.945617844,0.925987597
0.01,symmetric,RQ,7,0.034447979,0.010074231,0.015350877,0.993388896,0.999999927,0.934696286,0.03272195,green,green,1,1,0.939363862,0.925987597
0.01,symmetric,RQ,8,0.034447877,0.010074231,0.015350877,0.999954856,0.999999927,0.934696286,0.03272195,green,green,1,1,0.939363862,0.925987597
0.01,symmetric,RQ,9,0.034447701,0.010074231,0.015350877,0.993388682,0.999999927,0.934696286,0.03272195,green,green,1,1,0.939363862,0.925987597
