quantile,model,method,trial,loss,hit_rate_in,hit_rate_out,dq_in,dq_out,binom_in,binom_out,traffic_in,traffic_out,kupiec_in,kupiec_out,independent_in,independent_out
0.05,symmetric,RQ,18,0.12672695,0.050106045,0.039473684,0.419512009,0.992099045,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,19,0.126726984,0.050106045,0.039473684,0.419539565,0.992098051,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,20,0.126726956,0.050106045,0.039473684,0.419510396,0.992099104,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,21,0.126726934,0.050106045,0.039473684,0.415438197,0.992099474,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,22,0.126727008,0.050106045,0.039473684,0.419554866,0.992097504,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,23,0.12672694,0.050106045,0.039473684,0.419506172,0.992099258,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,24,0.126726953,0.050106045,0.039473684,0.419515569,0.992098916,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,25,0.126726976,0.050371156,0.039473684,0.485026496,0.992099124,0.910748281,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,26,0.126726958,0.050106045,0.039473684,0.419518465,0.992098811,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,27,0.126726959,0.050106045,0.039473684,0.419517977,0.992098829,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,28,0.126726936,0.050106045,0.039473684,0.494432443,0.992099488,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,29,0.126727301,0.050106045,0.039473684,0.402667433,0.992096258,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,0,0.126729396,0.049840933,0.039473684,0.463829029,0.992102371,1,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,1,0.126726939,0.050371156,0.039473684,0.47792417,0.992099585,0.910748281,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,2,0.126726933,0.050371156,0.039473684,0.477926667,0.992099481,0.910748281,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,3,0.126726946,0.050371156,0.039473684,0.432358821,0.992099623,0.910748281,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,4,0.126726949,0.050106045,0.039473684,0.504398432,0.992099036,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,5,0.126726967,0.050106045,0.039473684,0.419525803,0.992098546,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,6,0.126726986,0.050106045,0.039473684,0.419537146,0.992098137,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,7,0.126726981,0.050371156,0.039473684,0.485050887,0.992098217,0.910748281,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,8,0.126726951,0.050106045,0.039473684,0.419511572,0.992099061,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,9,0.126726936,0.050106045,0.039473684,0.415436436,0.992099531,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,10,0.12672699,0.050106045,0.039473684,0.419540179,0.992098028,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,11,0.126726937,0.050106045,0.039473684,0.415438325,0.992099469,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,12,0.126726932,0.050106045,0.039473684,0.415438326,0.992099469,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,13,0.126726935,0.049840933,0.039473684,0.430852319,0.992099459,1,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,14,0.126727013,0.050106045,0.039473684,0.419557421,0.992097413,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,15,0.126726965,0.050106045,0.039473684,0.419521925,0.992098685,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,16,0.126726977,0.050106045,0.039473684,0.419530104,0.99209839,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,17,0.126727015,0.050106045,0.039473684,0.419559097,0.992097354,0.970194032,0.040946129,green,green,,1,,0.77456405
