beta,coefficient,S.E. of beta,pval of beta,quantile,model,method,trial
beta2,0.894388194,0.055850734,5.11E-58,0.05,symmetric,RQ,26
beta3,-0.200153468,0.072616642,0.002922941,0.05,symmetric,RQ,26
beta1,-0.037355421,0.046109201,0.208926665,0.05,symmetric,RQ,27
beta2,0.894393381,0.055801459,4.06E-58,0.05,symmetric,RQ,27
beta3,-0.200147336,0.072553781,0.002902419,0.05,symmetric,RQ,27
beta1,-0.037326888,0.045933904,0.208217483,0.05,symmetric,RQ,28
beta2,0.894579971,0.05489747,5.31E-60,0.05,symmetric,RQ,28
beta3,-0.199772728,0.070661507,0.002348003,0.05,symmetric,RQ,28
beta1,-0.03729571,0.048145929,0.219276531,0.05,symmetric,RQ,29
beta2,0.893641335,0.058145424,1.32E-53,0.05,symmetric,RQ,29
beta3,-0.201973744,0.075277349,0.003647581,0.05,symmetric,RQ,29
beta1,-0.03777525,0.044437038,0.197638976,0.05,symmetric,mle,0
beta2,0.895370143,0.051507595,5.52E-68,0.05,symmetric,mle,0
beta3,-0.197195025,0.06558227,0.001319918,0.05,symmetric,mle,0
beta1,-0.037346802,0.045919705,0.208021128,0.05,symmetric,mle,1
beta2,0.894607136,0.054868354,4.58E-60,0.05,symmetric,mle,1
beta3,-0.19967289,0.070606462,0.002342217,0.05,symmetric,mle,1
beta1,-0.037332422,0.045930026,0.208163268,0.05,symmetric,mle,2
beta2,0.894578004,0.054891371,5.16E-60,0.05,symmetric,mle,2
beta3,-0.199769267,0.070651164,0.002345329,0.05,symmetric,mle,2
beta1,-0.037385097,0.045880163,0.207581292,0.05,symmetric,mle,3
beta2,0.894617936,0.054805088,3.35E-60,0.05,symmetric,mle,3
beta3,-0.199592571,0.070503767,0.002320506,0.05,symmetric,mle,3
beta1,-0.037330121,0.046098496,0.209030315,0.05,symmetric,mle,4
beta2,0.894452279,0.055783971,3.69E-58,0.05,symmetric,mle,4
beta3,-0.200049895,0.072535183,0.002908072,0.05,symmetric,mle,4
beta1,-0.037347441,0.046200087,0.209434595,0.05,symmetric,mle,5
beta2,0.89431246,0.055936427,7.74E-58,0.05,symmetric,mle,5
beta3,-0.200324655,0.072739388,0.002943541,0.05,symmetric,mle,5
beta1,-0.037379786,0.046286014,0.209665412,0.05,symmetric,mle,6
beta2,0.894194741,0.056060197,1.41E-57,0.05,symmetric,mle,6
beta3,-0.200522636,0.072893425,0.002971575,0.05,symmetric,mle,6
beta1,-0.037366812,0.046268928,0.209660281,0.05,symmetric,mle,7
beta2,0.894217929,0.05603755,1.26E-57,0.05,symmetric,mle,7
beta3,-0.200496006,0.072869799,0.002966803,0.05,symmetric,mle,7
beta1,-0.037356081,0.046094156,0.208846572,0.05,symmetric,mle,8
beta2,0.894459196,0.055769442,3.44E-58,0.05,symmetric,mle,8
beta3,-0.199986032,0.072497882,0.002903289,0.05,symmetric,mle,8
beta1,-0.037357563,0.045901244,0.207860232,0.05,symmetric,mle,9
beta2,0.89459215,0.054844811,4.10E-60,0.05,symmetric,mle,9
beta3,-0.19969986,0.070575949,0.002330502,0.05,symmetric,mle,9
beta1,-0.037380186,0.046308676,0.209776733,0.05,symmetric,mle,10
beta2,0.894163332,0.05609533,1.67E-57,0.05,symmetric,mle,10
beta3,-0.200590883,0.072942859,0.00298001,0.05,symmetric,mle,10
beta1,-0.037354297,0.045908296,0.207916428,0.05,symmetric,mle,11
beta2,0.894574727,0.054857466,4.38E-60,0.05,symmetric,mle,11
beta3,-0.199751498,0.070599132,0.002331943,0.05,symmetric,mle,11
beta1,-0.037327239,0.045934293,0.208217274,0.05,symmetric,mle,12
beta2,0.894574674,0.054898778,5.36E-60,0.05,symmetric,mle,12
beta3,-0.199786325,0.070664548,0.002347485,0.05,symmetric,mle,12
beta1,-0.03734047,0.045925126,0.208088164,0.05,symmetric,mle,13
beta2,0.894571837,0.05488329,4.97E-60,0.05,symmetric,mle,13
beta3,-0.199777175,0.070639544,0.002341106,0.05,symmetric,mle,13
beta1,-0.03739947,0.046438306,0.210306502,0.05,symmetric,mle,14
beta2,0.893984254,0.056291353,4.26E-57,0.05,symmetric,mle,14
beta3,-0.200948023,0.073207742,0.003026456,0.05,symmetric,mle,14
beta1,-0.037364349,0.046171743,0.209186517,0.05,symmetric,mle,15
beta2,0.894352296,0.055887317,6.11E-58,0.05,symmetric,mle,15
beta3,-0.20020544,0.072659043,0.002930933,0.05,symmetric,mle,15
beta1,-0.037377532,0.046233313,0.209414478,0.05,symmetric,mle,16
beta2,0.894267623,0.055978958,9.53E-58,0.05,symmetric,mle,16
beta3,-0.200366759,0.072780024,0.002952179,0.05,symmetric,mle,16
beta1,-0.03739965,0.046450813,0.210367943,0.05,symmetric,mle,17
beta2,0.893966843,0.056310808,4.68E-57,0.05,symmetric,mle,17
beta3,-0.200985931,0.07323518,0.003031169,0.05,symmetric,mle,17
beta1,-0.037351354,0.046449717,0.210662546,0.05,symmetric,mle,18
beta2,0.893966267,0.05632383,4.96E-57,0.05,symmetric,mle,18
beta3,-0.201077713,0.073284993,0.003036835,0.05,symmetric,mle,18
beta1,-0.037332611,0.046094081,0.2089925,0.05,symmetric,mle,19
beta2,0.89452378,0.055760273,3.23E-58,0.05,symmetric,mle,19
beta3,-0.199888114,0.072493708,0.002913894,0.05,symmetric,mle,19
beta1,-0.037353845,0.046484761,0.210822148,0.05,symmetric,mle,20
beta2,0.893917771,0.056377727,6.40E-57,0.05,symmetric,mle,20
beta3,-0.201179476,0.073359686,0.00304987,0.05,symmetric,mle,20
beta1,-0.037328524,0.045952987,0.208304057,0.05,symmetric,mle,21
beta2,0.894567482,0.054922636,6.03E-60,0.05,symmetric,mle,21
beta3,-0.199799717,0.070695328,0.002355132,0.05,symmetric,mle,21
beta1,-0.037358346,0.046299369,0.209865874,0.05,symmetric,mle,22
beta2,0.894175006,0.056087537,1.61E-57,0.05,symmetric,mle,22
beta3,-0.200606297,0.072946074,0.002979191,0.05,symmetric,mle,22
beta1,-0.037332171,0.045928073,0.208154924,0.05,symmetric,mle,23
beta2,0.894580241,0.054888503,5.09E-60,0.05,symmetric,mle,23
beta3,-0.199764946,0.070647397,0.002344673,0.05,symmetric,mle,23
beta1,-0.037374858,0.045878524,0.207636848,0.05,symmetric,mle,24
beta2,0.894587656,0.054811916,3.50E-60,0.05,symmetric,mle,24
beta3,-0.199689838,0.070527176,0.002317319,0.05,symmetric,mle,24
beta1,-0.037326433,0.045967766,0.208392028,0.05,symmetric,mle,25
beta2,0.894561272,0.054942501,6.65E-60,0.05,symmetric,mle,25
beta3,-0.199817295,0.070723074,0.002361465,0.05,symmetric,mle,25
beta1,-0.038132483,0.017505771,0.014692571,0.05,symmetric,mle,26
beta2,0.892303278,0.03137248,3.04E-178,0.05,symmetric,mle,26
beta3,-0.204506682,0.054863542,9.67E-05,0.05,symmetric,mle,26
beta1,-0.03735114,0.045911157,0.207950658,0.05,symmetric,mle,27
beta2,0.894597998,0.054858072,4.36E-60,0.05,symmetric,mle,27
beta3,-0.199692202,0.070594109,0.002336601,0.05,symmetric,mle,27
beta1,-0.03733511,0.045925844,0.208125269,0.05,symmetric,mle,28
beta2,0.894584174,0.054884051,4.97E-60,0.05,symmetric,mle,28
beta3,-0.199750471,0.070639114,0.002343746,0.05,symmetric,mle,28
beta1,-0.037331143,0.045941804,0.208231001,0.05,symmetric,mle,29
beta2,0.894572344,0.054907274,5.59E-60,0.05,symmetric,mle,29
beta3,-0.199784124,0.070673207,0.002350254,0.05,symmetric,mle,29
beta1,-0.045492133,0.009861245,1.98E-06,0.05,asymmetric,RQ,0
beta2,0.926907001,0.02303846,0,0.05,asymmetric,RQ,0
beta3,0.004368126,0.051802073,0.466399659,0.05,asymmetric,RQ,0
beta4,0.229860112,0.070352132,0.000542931,0.05,asymmetric,RQ,0
beta1,-0.045874945,0.01004237,2.46E-06,0.05,asymmetric,RQ,1
beta2,0.924236023,0.022682533,0,0.05,asymmetric,RQ,1
beta3,-0.00162768,0.051813332,0.487469569,0.05,asymmetric,RQ,1
beta4,0.235818654,0.070029478,0.000379375,0.05,asymmetric,RQ,1
beta1,-0.045753761,0.009837964,1.65E-06,0.05,asymmetric,RQ,2
beta2,0.926280255,0.023040404,0,0.05,asymmetric,RQ,2
beta3,0.002778756,0.051808803,0.478613056,0.05,asymmetric,RQ,2
beta4,0.231356354,0.070467696,0.000513261,0.05,asymmetric,RQ,2
beta1,-0.045665984,0.00987,1.86E-06,0.05,asymmetric,RQ,3
beta2,0.926432292,0.023158404,0,0.05,asymmetric,RQ,3
beta3,0.003299639,0.052032052,0.474717818,0.05,asymmetric,RQ,3
beta4,0.231209414,0.070860529,0.000551431,0.05,asymmetric,RQ,3
beta1,-0.04593868,0.00988218,1.67E-06,0.05,asymmetric,RQ,4
beta2,0.925972942,0.02307497,0,0.05,asymmetric,RQ,4
beta3,0.002669129,0.05185744,0.479475296,0.05,asymmetric,RQ,4
beta4,0.232175913,0.070596263,0.000503105,0.05,asymmetric,RQ,4
beta1,-0.045687993,0.009835672,1.70E-06,0.05,asymmetric,RQ,5
beta2,0.926513047,0.023077328,0,0.05,asymmetric,RQ,5
beta3,0.003617458,0.051805267,0.472165281,0.05,asymmetric,RQ,5
beta4,0.231078542,0.070609862,0.000532797,0.05,asymmetric,RQ,5
beta1,-0.045961613,0.009871861,1.61E-06,0.05,asymmetric,RQ,6
beta2,0.925962623,0.02304311,0,0.05,asymmetric,RQ,6
beta3,0.002685491,0.051778743,0.479318234,0.05,asymmetric,RQ,6
beta4,0.232198111,0.070496389,0.000494286,0.05,asymmetric,RQ,6
beta1,-0.044970975,0.009547347,1.24E-06,0.05,asymmetric,RQ,7
beta2,0.925903081,0.021946109,0,0.05,asymmetric,RQ,7
beta3,0.001065296,0.050022699,0.491504664,0.05,asymmetric,RQ,7
beta4,0.232368911,0.067809924,0.000305405,0.05,asymmetric,RQ,7
beta1,-0.045751324,0.009788261,1.48E-06,0.05,asymmetric,RQ,8
beta2,0.926470767,0.02293975,0,0.05,asymmetric,RQ,8
beta3,0.003463003,0.051504487,0.473196544,0.05,asymmetric,RQ,8
beta4,0.231093101,0.070172829,0.000495271,0.05,asymmetric,RQ,8
beta1,-0.045729815,0.009751931,1.37E-06,0.05,asymmetric,RQ,9
beta2,0.926685888,0.022878892,0,0.05,asymmetric,RQ,9
beta3,0.004194702,0.051280076,0.467402941,0.05,asymmetric,RQ,9
beta4,0.230755661,0.06999176,0.000488796,0.05,asymmetric,RQ,9
beta1,-0.047746881,0.010846377,5.36E-06,0.05,asymmetric,RQ,10
beta2,0.924921932,0.023997589,0,0.05,asymmetric,RQ,10
beta3,0.006042179,0.051649842,0.453436567,0.05,asymmetric,RQ,10
beta4,0.23561996,0.073294582,0.000652909,0.05,asymmetric,RQ,10
beta1,-0.045729646,0.009792881,1.51E-06,0.05,asymmetric,RQ,11
beta2,0.926568203,0.022965695,0,0.05,asymmetric,RQ,11
beta3,0.003649619,0.051514863,0.471760187,0.05,asymmetric,RQ,11
beta4,0.230748247,0.070207136,0.000506883,0.05,asymmetric,RQ,11
beta1,-0.045715251,0.009829018,1.65E-06,0.05,asymmetric,RQ,12
beta2,0.926434883,0.02304534,0,0.05,asymmetric,RQ,12
beta3,0.003335273,0.051764297,0.474313157,0.05,asymmetric,RQ,12
beta4,0.231178719,0.070504378,0.000521013,0.05,asymmetric,RQ,12
beta1,-0.04577836,0.009806715,1.52E-06,0.05,asymmetric,RQ,13
beta2,0.926401413,0.022971905,0,0.05,asymmetric,RQ,13
beta3,0.003396074,0.051577565,0.473751005,0.05,asymmetric,RQ,13
beta4,0.231263701,0.07027539,0.000499478,0.05,asymmetric,RQ,13
beta1,-0.046557608,0.009804337,1.02E-06,0.05,asymmetric,RQ,14
beta2,0.925918059,0.022726851,0,0.05,asymmetric,RQ,14
beta3,0.004996184,0.050639436,0.460703355,0.05,asymmetric,RQ,14
beta4,0.232917849,0.069539702,0.000404901,0.05,asymmetric,RQ,14
beta1,-0.045772414,0.0097741,1.41E-06,0.05,asymmetric,RQ,15
beta2,0.926459586,0.022898438,0,0.05,asymmetric,RQ,15
beta3,0.003439182,0.051410885,0.473332251,0.05,asymmetric,RQ,15
beta4,0.231102186,0.0700425,0.000484361,0.05,asymmetric,RQ,15
beta1,-0.045658894,0.009960482,2.28E-06,0.05,asymmetric,RQ,16
beta2,0.926238617,0.022730219,0,0.05,asymmetric,RQ,16
beta3,0.002725952,0.051468533,0.478880505,0.05,asymmetric,RQ,16
beta4,0.231573267,0.069779079,0.000452247,0.05,asymmetric,RQ,16
