beta,coefficient,S.E. of beta,pval of beta,quantile,model,method,trial
beta1,-0.119978568,0.02465706,5.70E-07,0.01,symmetric,RQ,13
beta2,0.876314595,0.013803387,0,0.01,symmetric,RQ,13
beta3,-0.275591736,0.025728593,4.49E-27,0.01,symmetric,RQ,13
beta1,-0.115817335,0.023332572,3.46E-07,0.01,symmetric,RQ,14
beta2,0.878551747,0.013132983,0,0.01,symmetric,RQ,14
beta3,-0.272680159,0.024688345,1.16E-28,0.01,symmetric,RQ,14
beta1,-0.115011827,0.023405491,4.46E-07,0.01,symmetric,RQ,15
beta2,0.879639155,0.013129497,0,0.01,symmetric,RQ,15
beta3,-0.270973513,0.024728358,3.04E-28,0.01,symmetric,RQ,15
beta1,-0.113843047,0.02311515,4.22E-07,0.01,symmetric,RQ,16
beta2,0.88045224,0.012960489,0,0.01,symmetric,RQ,16
beta3,-0.269832081,0.024457515,1.33E-28,0.01,symmetric,RQ,16
beta1,-0.118837654,0.02447124,5.98E-07,0.01,symmetric,RQ,17
beta2,0.877037467,0.013697596,0,0.01,symmetric,RQ,17
beta3,-0.274602603,0.02557357,3.38E-27,0.01,symmetric,RQ,17
beta1,-0.1206819,0.024678527,5.04E-07,0.01,symmetric,RQ,18
beta2,0.875971591,0.013808155,0,0.01,symmetric,RQ,18
beta3,-0.276027732,0.025714513,3.51E-27,0.01,symmetric,RQ,18
beta1,-0.115456045,0.023341427,3.78E-07,0.01,symmetric,RQ,19
beta2,0.878993846,0.013121543,0,0.01,symmetric,RQ,19
beta3,-0.271994593,0.024686324,1.56E-28,0.01,symmetric,RQ,19
beta1,-0.114054389,0.022905943,3.19E-07,0.01,symmetric,RQ,20
beta2,0.879800435,0.012882148,0,0.01,symmetric,RQ,20
beta3,-0.270920851,0.024287233,3.39E-29,0.01,symmetric,RQ,20
beta1,-0.116919932,0.023802936,4.51E-07,0.01,symmetric,RQ,21
beta2,0.878157952,0.013374761,0,0.01,symmetric,RQ,21
beta3,-0.273104478,0.025108384,7.42E-28,0.01,symmetric,RQ,21
beta1,-0.116437287,0.023632023,4.17E-07,0.01,symmetric,RQ,22
beta2,0.878398251,0.013283461,0,0.01,symmetric,RQ,22
beta3,-0.272800178,0.024953724,4.04E-28,0.01,symmetric,RQ,22
beta1,-0.120573016,0.024682105,5.17E-07,0.01,symmetric,RQ,23
beta2,0.876013875,0.013811957,0,0.01,symmetric,RQ,23
beta3,-0.2759866,0.025725589,3.76E-27,0.01,symmetric,RQ,23
beta1,-0.113279334,0.022635133,2.80E-07,0.01,symmetric,RQ,24
beta2,0.880185668,0.012737379,0,0.01,symmetric,RQ,24
beta3,-0.270433285,0.024041109,1.17E-29,0.01,symmetric,RQ,24
beta1,-0.121068582,0.024703746,4.77E-07,0.01,symmetric,RQ,25
beta2,0.875840098,0.013813907,0,0.01,symmetric,RQ,25
beta3,-0.276160091,0.025713249,3.30E-27,0.01,symmetric,RQ,25
beta1,-0.115305497,0.023483531,4.55E-07,0.01,symmetric,RQ,26
beta2,0.879444108,0.013174139,0,0.01,symmetric,RQ,26
beta3,-0.271244083,0.024800719,3.84E-28,0.01,symmetric,RQ,26
beta1,-0.115108484,0.023666407,5.76E-07,0.01,symmetric,RQ,27
beta2,0.879616391,0.013224981,0,0.01,symmetric,RQ,27
beta3,-0.270990169,0.024835198,5.08E-28,0.01,symmetric,RQ,27
beta1,-0.120755558,0.024623066,4.69E-07,0.01,symmetric,RQ,28
beta2,0.876038697,0.013768252,0,0.01,symmetric,RQ,28
beta3,-0.27588825,0.025639668,2.65E-27,0.01,symmetric,RQ,28
beta1,-0.114896923,0.023163499,3.52E-07,0.01,symmetric,RQ,29
beta2,0.879308181,0.013024247,0,0.01,symmetric,RQ,29
beta3,-0.271579251,0.024523642,8.37E-29,0.01,symmetric,RQ,29
beta1,-0.117374742,0.02393857,4.72E-07,0.01,symmetric,mle,0
beta2,0.877882092,0.01345032,0,0.01,symmetric,mle,0
beta3,-0.273477462,0.025233059,1.14E-27,0.01,symmetric,mle,0
beta1,-0.115076654,0.02322117,3.60E-07,0.01,symmetric,mle,1
beta2,0.879201478,0.013055854,0,0.01,symmetric,mle,1
beta3,-0.271737616,0.024577781,1.02E-28,0.01,symmetric,mle,1
beta1,-0.116722982,0.023899494,5.20E-07,0.01,symmetric,mle,2
beta2,0.87863184,0.013354499,0,0.01,symmetric,mle,2
beta3,-0.27232423,0.025017627,6.77E-28,0.01,symmetric,mle,2
beta1,-0.113239504,0.022655896,2.89E-07,0.01,symmetric,mle,3
beta2,0.880272667,0.012744457,0,0.01,symmetric,mle,3
beta3,-0.27029076,0.024057699,1.37E-29,0.01,symmetric,mle,3
beta1,-0.113745184,0.0228177,3.10E-07,0.01,symmetric,mle,4
beta2,0.879992703,0.012832657,0,0.01,symmetric,mle,4
beta3,-0.270658915,0.024205729,2.51E-29,0.01,symmetric,mle,4
beta1,-0.112084697,0.022316907,2.55E-07,0.01,symmetric,mle,5
beta2,0.880939447,0.012558117,0,0.01,symmetric,mle,5
beta3,-0.269402261,0.02374847,3.97E-30,0.01,symmetric,mle,5
beta1,-0.118893499,0.024477011,5.95E-07,0.01,symmetric,mle,6
beta2,0.877005883,0.013700607,0,0.01,symmetric,mle,6
beta3,-0.274644382,0.025577201,3.38E-27,0.01,symmetric,mle,6
beta1,-0.116094339,0.023537926,4.06E-07,0.01,symmetric,mle,7
beta2,0.878621197,0.013229937,0,0.01,symmetric,mle,7
beta3,-0.272492568,0.024866441,3.03E-28,0.01,symmetric,mle,7
beta1,-0.118311942,0.024354773,5.93E-07,0.01,symmetric,mle,8
beta2,0.878183111,0.013566784,0,0.01,symmetric,mle,8
beta3,-0.272728766,0.025368893,2.95E-27,0.01,symmetric,mle,8
beta1,-0.120686651,0.024678258,5.03E-07,0.01,symmetric,mle,9
beta2,0.875971487,0.013807886,0,0.01,symmetric,mle,9
beta3,-0.276022519,0.025713507,3.50E-27,0.01,symmetric,mle,9
beta1,-0.120704235,0.024677761,5.01E-07,0.01,symmetric,mle,10
beta2,0.875961431,0.013807383,0,0.01,symmetric,mle,10
beta3,-0.276042506,0.025712572,3.46E-27,0.01,symmetric,mle,10
beta1,-0.112961232,0.022442223,2.41E-07,0.01,symmetric,mle,11
beta2,0.879887283,0.012665534,0,0.01,symmetric,mle,11
beta3,-0.271030864,0.023904083,4.24E-30,0.01,symmetric,mle,11
beta1,-0.115613476,0.023388248,3.84E-07,0.01,symmetric,mle,12
beta2,0.878898712,0.01314759,0,0.01,symmetric,mle,12
beta3,-0.272123424,0.024729421,1.83E-28,0.01,symmetric,mle,12
beta1,-0.115732696,0.023620447,4.80E-07,0.01,symmetric,mle,13
beta2,0.879390009,0.013186987,0,0.01,symmetric,mle,13
beta3,-0.271236447,0.024744438,2.93E-28,0.01,symmetric,mle,13
beta1,-0.116166935,0.023559411,4.09E-07,0.01,symmetric,mle,14
beta2,0.878576948,0.013241916,0,0.01,symmetric,mle,14
beta3,-0.272552747,0.024886235,3.25E-28,0.01,symmetric,mle,14
beta1,-0.112961966,0.022594044,2.87E-07,0.01,symmetric,mle,15
beta2,0.880478265,0.012707351,0,0.01,symmetric,mle,15
beta3,-0.269997892,0.023999178,1.15E-29,0.01,symmetric,mle,15
beta1,-0.11917913,0.024516751,5.84E-07,0.01,symmetric,mle,16
beta2,0.876801163,0.013723234,0,0.01,symmetric,mle,16
beta3,-0.275011258,0.0256155,3.44E-27,0.01,symmetric,mle,16
beta1,-0.116110433,0.023646136,4.55E-07,0.01,symmetric,mle,17
beta2,0.879192222,0.013198634,0,0.01,symmetric,mle,17
beta3,-0.271491727,0.024753029,2.72E-28,0.01,symmetric,mle,17
beta1,-0.120706323,0.024639392,4.82E-07,0.01,symmetric,mle,18
beta2,0.876006884,0.013782353,0,0.01,symmetric,mle,18
beta3,-0.275955353,0.025666269,2.91E-27,0.01,symmetric,mle,18
beta1,-0.11623492,0.023636126,4.38E-07,0.01,symmetric,mle,19
beta2,0.878644299,0.013276573,0,0.01,symmetric,mle,19
beta3,-0.272418954,0.024951686,4.74E-28,0.01,symmetric,mle,19
beta1,-0.729287598,0.221262842,0.000490318,0.01,symmetric,mle,20
beta2,0.710034839,0.071399425,1.33E-23,0.01,symmetric,mle,20
beta3,-0.215889997,0.052903877,2.24E-05,0.01,symmetric,mle,20
beta1,-0.117158262,0.023851979,4.51E-07,0.01,symmetric,mle,21
beta2,0.877971244,0.013405243,0,0.01,symmetric,mle,21
beta3,-0.273373484,0.025155523,8.25E-28,0.01,symmetric,mle,21
beta1,-0.119542989,0.024563847,5.68E-07,0.01,symmetric,mle,22
beta2,0.876615925,0.013748489,0,0.01,symmetric,mle,22
beta3,-0.275169927,0.025642935,3.65E-27,0.01,symmetric,mle,22
beta1,-0.121766816,0.024962816,5.36E-07,0.01,symmetric,mle,23
beta2,0.875525422,0.013949489,0,0.01,symmetric,mle,23
beta3,-0.276547793,0.025943438,7.86E-27,0.01,symmetric,mle,23
beta1,-0.113751103,0.022843775,3.19E-07,0.01,symmetric,mle,24
beta2,0.880036219,0.012843787,0,0.01,symmetric,mle,24
beta3,-0.270581444,0.024227787,2.92E-29,0.01,symmetric,mle,24
beta1,-0.116460055,0.023663893,4.30E-07,0.01,symmetric,mle,25
beta2,0.878432647,0.013297627,0,0.01,symmetric,mle,25
beta3,-0.272734715,0.024980752,4.74E-28,0.01,symmetric,mle,25
beta1,-7.097306653,0.338498486,6.56E-98,0.01,symmetric,mle,26
beta2,-0.990237787,0.019807424,0,0.01,symmetric,mle,26
beta3,0.030057705,0.024486523,0.109813537,0.01,symmetric,mle,26
beta1,-0.117991842,0.024377195,6.48E-07,0.01,symmetric,mle,27
beta2,0.877513612,0.013647866,0,0.01,symmetric,mle,27
beta3,-0.273996863,0.025513085,3.32E-27,0.01,symmetric,mle,27
beta1,-0.120085076,0.024595282,5.24E-07,0.01,symmetric,mle,28
beta2,0.876703454,0.013732371,0,0.01,symmetric,mle,28
beta3,-0.274888652,0.025603063,3.43E-27,0.01,symmetric,mle,28
beta1,-0.116667839,0.024013074,5.91E-07,0.01,symmetric,mle,29
beta2,0.878527896,0.013428854,0,0.01,symmetric,mle,29
beta3,-0.272518863,0.025155482,1.20E-27,0.01,symmetric,mle,29
beta1,-0.073959029,0.010260339,2.83E-13,0.01,asymmetric,RQ,0
beta2,0.922593014,0.008389828,0,0.01,asymmetric,RQ,0
beta3,-0.02791392,0.050691288,0.290931661,0.01,asymmetric,RQ,0
beta4,0.317830821,0.032511767,7.15E-23,0.01,asymmetric,RQ,0
beta1,-0.074432305,0.011328493,2.51E-11,0.01,asymmetric,RQ,1
beta2,0.921039704,0.009190221,0,0.01,asymmetric,RQ,1
beta3,-0.04038516,0.053566218,0.225445732,0.01,asymmetric,RQ,1
beta4,0.314676386,0.033586275,3.65E-21,0.01,asymmetric,RQ,1
beta1,-0.075082876,0.010562702,5.87E-13,0.01,asymmetric,RQ,2
beta2,0.922400285,0.008614163,0,0.01,asymmetric,RQ,2
beta3,-0.026409951,0.05176516,0.30495996,0.01,asymmetric,RQ,2
beta4,0.318913078,0.033283676,4.77E-22,0.01,asymmetric,RQ,2
beta1,-0.075290455,0.010874537,2.20E-12,0.01,asymmetric,RQ,3
beta2,0.921783526,0.008891777,0,0.01,asymmetric,RQ,3
beta3,-0.031153633,0.053334263,0.279569642,0.01,asymmetric,RQ,3
beta4,0.317801937,0.033978601,4.26E-21,0.01,asymmetric,RQ,3
beta1,-0.074248575,0.011273157,2.25E-11,0.01,asymmetric,RQ,4
beta2,0.921095166,0.00914675,0,0.01,asymmetric,RQ,4
beta3,-0.040644079,0.053374376,0.223182085,0.01,asymmetric,RQ,4
beta4,0.314410415,0.033453556,2.77E-21,0.01,asymmetric,RQ,4
beta1,-0.078378745,0.01178925,1.48E-11,0.01,asymmetric,RQ,5
beta2,0.920259947,0.009553266,0,0.01,asymmetric,RQ,5
beta3,-0.03060803,0.056251595,0.293176929,0.01,asymmetric,RQ,5
beta4,0.321799949,0.035554183,7.09E-20,0.01,asymmetric,RQ,5
beta1,-0.074605999,0.011117467,9.68E-12,0.01,asymmetric,RQ,6
beta2,0.920632388,0.009166748,0,0.01,asymmetric,RQ,6
beta3,-0.03961712,0.055204417,0.236488403,0.01,asymmetric,RQ,6
beta4,0.318811012,0.03462366,1.66E-20,0.01,asymmetric,RQ,6
beta1,-0.07834494,0.011821898,1.71E-11,0.01,asymmetric,RQ,7
beta2,0.920213261,0.009583535,0,0.01,asymmetric,RQ,7
beta3,-0.030658736,0.056450779,0.293528539,0.01,asymmetric,RQ,7
beta4,0.322219338,0.035677889,8.48E-20,0.01,asymmetric,RQ,7
beta1,-0.073303302,0.010920129,9.55E-12,0.01,asymmetric,RQ,8
beta2,0.921569646,0.008813091,0,0.01,asymmetric,RQ,8
beta3,-0.03952705,0.053589878,0.230383568,0.01,asymmetric,RQ,8
beta4,0.31405779,0.034271909,2.51E-20,0.01,asymmetric,RQ,8
beta1,-0.073615068,0.010995933,1.08E-11,0.01,asymmetric,RQ,9
beta2,0.921446301,0.008872767,0,0.01,asymmetric,RQ,9
beta3,-0.0395446,0.053850018,0.231368639,0.01,asymmetric,RQ,9
beta4,0.314275708,0.034433827,3.52E-20,0.01,asymmetric,RQ,9
beta1,-0.076059667,0.011239233,6.56E-12,0.01,asymmetric,RQ,10
beta2,0.921284871,0.009191368,0,0.01,asymmetric,RQ,10
beta3,-0.033191626,0.054892595,0.272700833,0.01,asymmetric,RQ,10
beta4,0.317772072,0.03482363,3.58E-20,0.01,asymmetric,RQ,10
beta1,-0.092556706,0.017979722,1.32E-07,0.01,asymmetric,RQ,11
beta2,0.902928773,0.023707797,0,0.01,asymmetric,RQ,11
beta3,-0.028764933,0.076504652,0.353462413,0.01,asymmetric,RQ,11
beta4,0.416985966,0.108212216,5.82E-05,0.01,asymmetric,RQ,11
beta1,-0.076962775,0.011173641,2.83E-12,0.01,asymmetric,RQ,12
beta2,0.92181061,0.009085842,0,0.01,asymmetric,RQ,12
beta3,-0.025953627,0.054075146,0.315629757,0.01,asymmetric,RQ,12
beta4,0.320300579,0.034776825,1.63E-20,0.01,asymmetric,RQ,12
beta1,-0.079701973,0.011761043,6.14E-12,0.01,asymmetric,RQ,13
beta2,0.920443401,0.00932549,0,0.01,asymmetric,RQ,13
beta3,-0.026189361,0.051656943,0.306082225,0.01,asymmetric,RQ,13
beta4,0.32343546,0.033274079,1.23E-22,0.01,asymmetric,RQ,13
beta1,-0.071697727,0.010339956,2.04E-12,0.01,asymmetric,RQ,14
beta2,0.924100728,0.008344907,0,0.01,asymmetric,RQ,14
beta3,-0.031353971,0.052772341,0.276210428,0.01,asymmetric,RQ,14
beta4,0.311653955,0.034528982,8.91E-20,0.01,asymmetric,RQ,14
beta1,-0.080322409,0.012970645,2.96E-10,0.01,asymmetric,RQ,15
beta2,0.918270366,0.010477142,0,0.01,asymmetric,RQ,15
beta3,-0.041710685,0.058999806,0.239794709,0.01,asymmetric,RQ,15
beta4,0.320987482,0.036797393,1.35E-18,0.01,asymmetric,RQ,15
beta1,-0.075112082,0.010672308,9.75E-13,0.01,asymmetric,RQ,16
beta2,0.922718445,0.008664907,0,0.01,asymmetric,RQ,16
beta3,-0.026252985,0.052243513,0.307653759,0.01,asymmetric,RQ,16
beta4,0.317945267,0.033619389,1.58E-21,0.01,asymmetric,RQ,16
beta1,-0.078663254,0.012522344,1.67E-10,0.01,asymmetric,RQ,17
beta2,0.919282956,0.010123994,0,0.01,asymmetric,RQ,17
beta3,-0.039393906,0.057531202,0.246754052,0.01,asymmetric,RQ,17
beta4,0.319402494,0.036063303,4.12E-19,0.01,asymmetric,RQ,17
beta1,-0.075098169,0.011492544,3.19E-11,0.01,asymmetric,RQ,18
beta2,0.920719424,0.009314515,0,0.01,asymmetric,RQ,18
beta3,-0.041238752,0.054099711,0.222948529,0.01,asymmetric,RQ,18
beta4,0.314863319,0.03385849,7.06E-21,0.01,asymmetric,RQ,18
beta1,-0.073971939,0.010858142,4.79E-12,0.01,asymmetric,RQ,19
beta2,0.921329412,0.008936128,0,0.01,asymmetric,RQ,19
beta3,-0.039122713,0.05390123,0.233973869,0.01,asymmetric,RQ,19
beta4,0.314780571,0.033845415,6.99E-21,0.01,asymmetric,RQ,19
beta1,-0.073523312,0.010607462,2.09E-12,0.01,asymmetric,RQ,20
beta2,0.921913467,0.008716522,0,0.01,asymmetric,RQ,20
beta3,-0.035261783,0.052724172,0.251812399,0.01,asymmetric,RQ,20
beta4,0.315528095,0.033353858,1.54E-21,0.01,asymmetric,RQ,20
beta1,-0.076515819,0.011607685,2.17E-11,0.01,asymmetric,RQ,21
beta2,0.920703454,0.009504945,0,0.01,asymmetric,RQ,21
beta3,-0.037099127,0.056611231,0.256127149,0.01,asymmetric,RQ,21
beta4,0.316953537,0.035640576,2.97E-19,0.01,asymmetric,RQ,21
beta1,-0.079814327,0.012828587,2.46E-10,0.01,asymmetric,RQ,22
beta2,0.918233416,0.010345518,0,0.01,asymmetric,RQ,22
beta3,-0.047389683,0.058523582,0.20904089,0.01,asymmetric,RQ,22
beta4,0.316913676,0.036129672,8.81E-19,0.01,asymmetric,RQ,22
beta1,-0.074452749,0.010806722,2.80E-12,0.01,asymmetric,RQ,23
beta2,0.921568258,0.008869766,0,0.01,asymmetric,RQ,23
beta3,-0.035215057,0.053409876,0.254839999,0.01,asymmetric,RQ,23
beta4,0.316508061,0.033777244,3.61E-21,0.01,asymmetric,RQ,23
beta1,-0.074200641,0.011255854,2.17E-11,0.01,asymmetric,RQ,24
beta2,0.921105506,0.009132852,0,0.01,asymmetric,RQ,24
beta3,-0.040796889,0.053310474,0.222055489,0.01,asymmetric,RQ,24
beta4,0.314289443,0.03340518,2.52E-21,0.01,asymmetric,RQ,24
beta1,-0.075181965,0.011545168,3.71E-11,0.01,asymmetric,RQ,25
beta2,0.920750092,0.009354445,0,0.01,asymmetric,RQ,25
beta3,-0.040582731,0.054311345,0.227464232,0.01,asymmetric,RQ,25
beta4,0.3151964,0.034031215,1.00E-20,0.01,asymmetric,RQ,25
beta1,-0.101562965,0.029132521,0.00024493,0.01,asymmetric,RQ,26
beta2,0.8874593,0.037731143,1.26E-122,0.01,asymmetric,RQ,26
beta3,-0.137092321,0.086728635,0.056972839,0.01,asymmetric,RQ,26
beta4,0.38006587,0.166195965,0.01110218,0.01,asymmetric,RQ,26
beta1,-0.078355344,0.01185789,1.95E-11,0.01,asymmetric,RQ,27
beta2,0.919839489,0.00948983,0,0.01,asymmetric,RQ,27
beta3,-0.03050783,0.052904726,0.282085914,0.01,asymmetric,RQ,27
beta4,0.325390237,0.033784197,2.95E-22,0.01,asymmetric,RQ,27
beta1,-0.073417209,0.010808494,5.51E-12,0.01,asymmetric,RQ,28
beta2,0.921696572,0.008893565,0,0.01,asymmetric,RQ,28
beta3,-0.037649563,0.05381201,0.242073008,0.01,asymmetric,RQ,28
beta4,0.314737738,0.033892327,7.98E-21,0.01,asymmetric,RQ,28
beta1,-0.086499561,0.017275831,2.76E-07,0.01,asymmetric,RQ,29
beta2,0.911337801,0.021387917,0,0.01,asymmetric,RQ,29
beta3,-0.018776017,0.067307754,0.390138638,0.01,asymmetric,RQ,29
beta4,0.380281371,0.111099533,0.000309797,0.01,asymmetric,RQ,29
beta1,-0.074378595,0.010865139,3.81E-12,0.01,asymmetric,mle,0
beta2,0.921577118,0.00891346,0,0.01,asymmetric,mle,0
beta3,-0.036402975,0.053716746,0.248986059,0.01,asymmetric,mle,0
beta4,0.315497512,0.033900928,6.61E-21,0.01,asymmetric,mle,0
beta1,-0.073702237,0.010414177,7.36E-13,0.01,asymmetric,mle,1
beta2,0.922300143,0.00852954,0,0.01,asymmetric,mle,1
beta3,-0.032035514,0.051618576,0.267424879,0.01,asymmetric,mle,1
beta4,0.316244104,0.032856595,3.14E-22,0.01,asymmetric,mle,1
beta1,-0.077988149,0.012257245,9.92E-11,0.01,asymmetric,mle,2
beta2,0.919442861,0.00990933,0,0.01,asymmetric,mle,2
beta3,-0.041776481,0.056573116,0.230120177,0.01,asymmetric,mle,2
beta4,0.317408055,0.035318942,1.27E-19,0.01,asymmetric,mle,2
beta1,-0.094582791,0.017353948,2.52E-08,0.01,asymmetric,mle,3
beta2,0.900983467,0.023271893,0,0.01,asymmetric,mle,3
beta3,-0.024388008,0.075705727,0.373672492,0.01,asymmetric,mle,3
beta4,0.433183795,0.106983605,2.57E-05,0.01,asymmetric,mle,3
beta1,-0.077358338,0.011385861,5.44E-12,0.01,asymmetric,mle,4
beta2,0.921396478,0.009181844,0,0.01,asymmetric,mle,4
beta3,-0.026537073,0.054568468,0.313374466,0.01,asymmetric,mle,4
beta4,0.321116566,0.03478163,1.32E-20,0.01,asymmetric,mle,4
beta1,-0.075398763,0.011561173,3.48E-11,0.01,asymmetric,mle,5
beta2,0.920552915,0.009369644,0,0.01,asymmetric,mle,5
beta3,-0.041518583,0.054316925,0.222321442,0.01,asymmetric,mle,5
beta4,0.315106225,0.033971091,8.82E-21,0.01,asymmetric,mle,5
beta1,-0.075917783,0.011587936,2.85E-11,0.01,asymmetric,mle,6
beta2,0.920037134,0.009408708,0,0.01,asymmetric,mle,6
beta3,-0.043026993,0.054284323,0.213998807,0.01,asymmetric,mle,6
beta4,0.315562713,0.033838093,5.51E-21,0.01,asymmetric,mle,6
beta1,-0.073995085,0.010861906,4.80E-12,0.01,asymmetric,mle,7
beta2,0.921324213,0.008938646,0,0.01,asymmetric,mle,7
beta3,-0.039164254,0.053909324,0.233771098,0.01,asymmetric,mle,7
beta4,0.314728438,0.03384755,7.13E-21,0.01,asymmetric,mle,7
beta1,-0.075081352,0.011475556,3.02E-11,0.01,asymmetric,mle,8
beta2,0.920680522,0.009304594,0,0.01,asymmetric,mle,8
beta3,-0.041403567,0.054033561,0.221761848,0.01,asymmetric,mle,8
beta4,0.314916534,0.033805737,6.07E-21,0.01,asymmetric,mle,8
beta1,-0.091312734,0.019046325,8.16E-07,0.01,asymmetric,mle,9
beta2,0.901152965,0.014134918,0,0.01,asymmetric,mle,9
beta3,-0.130461307,0.064208258,0.021084612,0.01,asymmetric,mle,9
beta4,0.312113708,0.035930594,1.87E-18,0.01,asymmetric,mle,9
beta1,-0.079391773,0.011947458,1.52E-11,0.01,asymmetric,mle,10
beta2,0.919805536,0.009687254,0,0.01,asymmetric,mle,10
beta3,-0.029809033,0.056623872,0.299291501,0.01,asymmetric,mle,10
beta4,0.323346002,0.035821662,8.86E-20,0.01,asymmetric,mle,10
beta1,-0.07336891,0.01096303,1.10E-11,0.01,asymmetric,mle,11
beta2,0.921656101,0.008845429,0,0.01,asymmetric,mle,11
beta3,-0.038326181,0.053755271,0.237930515,0.01,asymmetric,mle,11
beta4,0.314458182,0.0344468,3.46E-20,0.01,asymmetric,mle,11
beta1,-0.0818916,0.013390844,4.81E-10,0.01,asymmetric,mle,12
beta2,0.917875703,0.010782228,0,0.01,asymmetric,mle,12
beta3,-0.0405913,0.060150385,0.249891803,0.01,asymmetric,mle,12
beta4,0.321586241,0.037566322,5.62E-18,0.01,asymmetric,mle,12
beta1,-0.074161182,0.011250358,2.17E-11,0.01,asymmetric,mle,13
beta2,0.921137676,0.009128708,0,0.01,asymmetric,mle,13
beta3,-0.040604216,0.053296763,0.223074337,0.01,asymmetric,mle,13
beta4,0.314326325,0.033408837,2.52E-21,0.01,asymmetric,mle,13
beta1,-0.07371622,0.010994458,1.01E-11,0.01,asymmetric,mle,14
beta2,0.921334983,0.008871669,0,0.01,asymmetric,mle,14
beta3,-0.040463989,0.053817069,0.226061551,0.01,asymmetric,mle,14
beta4,0.313970745,0.034358001,3.17E-20,0.01,asymmetric,mle,14
beta1,-0.079057069,0.011633441,5.39E-12,0.01,asymmetric,mle,15
beta2,0.921623141,0.009176776,0,0.01,asymmetric,mle,15
beta3,-0.020109893,0.051151213,0.347105836,0.01,asymmetric,mle,15
beta4,0.32374437,0.033382773,1.54E-22,0.01,asymmetric,mle,15
beta1,-0.073846582,0.010698549,2.56E-12,0.01,asymmetric,mle,16
beta2,0.925287659,0.008355867,0,0.01,asymmetric,mle,16
beta3,-0.022038259,0.050619152,0.331645516,0.01,asymmetric,mle,16
beta4,0.312712751,0.034573051,7.48E-20,0.01,asymmetric,mle,16
beta1,-0.078227092,0.010890494,3.41E-13,0.01,asymmetric,mle,17
beta2,0.922840164,0.009029859,0,0.01,asymmetric,mle,17
beta3,-0.012931499,0.061030211,0.416097654,0.01,asymmetric,mle,17
beta4,0.324729219,0.0368589,6.25E-19,0.01,asymmetric,mle,17
beta1,-0.078730481,0.012329879,8.55E-11,0.01,asymmetric,mle,18
beta2,0.920043963,0.009951431,0,0.01,asymmetric,mle,18
beta3,-0.035248694,0.058737759,0.274218858,0.01,asymmetric,mle,18
beta4,0.319323981,0.036827487,2.15E-18,0.01,asymmetric,mle,18
beta1,-0.078926967,0.011711594,7.96E-12,0.01,asymmetric,mle,19
beta2,0.920787626,0.009291479,0,0.01,asymmetric,mle,19
beta3,-0.026030522,0.051700853,0.30731222,0.01,asymmetric,mle,19
beta4,0.322748709,0.033319588,1.72E-22,0.01,asymmetric,mle,19
beta1,-0.074894955,0.011427256,2.80E-11,0.01,asymmetric,mle,20
beta2,0.920773526,0.009266523,0,0.01,asymmetric,mle,20
beta3,-0.041289289,0.053871397,0.221706745,0.01,asymmetric,mle,20
beta4,0.314748614,0.033714529,5.02E-21,0.01,asymmetric,mle,20
beta1,-0.076625337,0.011292915,5.79E-12,0.01,asymmetric,mle,21
beta2,0.92104513,0.009245549,0,0.01,asymmetric,mle,21
beta3,-0.031853175,0.05494786,0.281059083,0.01,asymmetric,mle,21
beta4,0.319173819,0.034927397,3.17E-20,0.01,asymmetric,mle,21
beta1,-0.073463069,0.010948486,9.74E-12,0.01,asymmetric,mle,22
beta2,0.921497614,0.008834696,0,0.01,asymmetric,mle,22
beta3,-0.03978248,0.053670834,0.229276733,0.01,asymmetric,mle,22
beta4,0.313992293,0.034306936,2.78E-20,0.01,asymmetric,mle,22
beta1,-0.21296075,0.054260567,4.34E-05,0.01,asymmetric,mle,23
beta2,0.765896874,0.070480012,8.29E-28,0.01,asymmetric,mle,23
beta3,-0.509158635,0.228861667,0.013049212,0.01,asymmetric,mle,23
beta4,0.68011927,0.326477033,0.018616176,0.01,asymmetric,mle,23
beta1,-0.082686582,0.012732932,4.18E-11,0.01,asymmetric,mle,24
beta2,0.916489563,0.010264449,0,0.01,asymmetric,mle,24
beta3,-0.035145637,0.055723264,0.26411263,0.01,asymmetric,mle,24
beta4,0.334587753,0.03520076,9.99E-22,0.01,asymmetric,mle,24
beta1,-0.076703483,0.010453859,1.09E-13,0.01,asymmetric,mle,25
beta2,0.924243324,0.008539084,0,0.01,asymmetric,mle,25
beta3,-0.006922094,0.057612861,0.452182792,0.01,asymmetric,mle,25
beta4,0.324596471,0.034934232,7.60E-21,0.01,asymmetric,mle,25
beta1,-0.077992487,0.011243645,2.01E-12,0.01,asymmetric,mle,26
beta2,0.921545619,0.008914514,0,0.01,asymmetric,mle,26
beta3,-0.020997151,0.057260057,0.356922129,0.01,asymmetric,mle,26
beta4,0.323917024,0.035983761,1.11E-19,0.01,asymmetric,mle,26
beta1,-0.074095434,0.010925565,5.93E-12,0.01,asymmetric,mle,27
beta2,0.921232369,0.008991424,0,0.01,asymmetric,mle,27
beta3,-0.039796195,0.054201162,0.231403858,0.01,asymmetric,mle,27
beta4,0.314567753,0.033989638,1.07E-20,0.01,asymmetric,mle,27
beta1,-0.07400651,0.011075797,1.18E-11,0.01,asymmetric,mle,28
beta2,0.921183628,0.008937822,0,0.01,asymmetric,mle,28
beta3,-0.040693422,0.054117411,0.22604148,0.01,asymmetric,mle,28
